153,,9227,409,-7903,-1730,3316,903,-4083,13
154,,9188,535,-7977,-1730,3281,951,-4101,15
155,,9139,631,-8029,-1730,3251,992,-4109,15
156,,9086,755,-8077,-1734,3216,1033,-4122,12
157,,8996,843,-8126,-1733,3177,1084,-4134,12
158,,8949,948,-8177,-1731,3141,1140,-4143,16
159,,8831,1056,-8232,-1730,3103,1193,-4157,14
160,,8727,1171,-8251,-1730,3065,1244,-4169,16
161,,8652,1287,-8297,-1735,3023,1287,-4186,11
162,,8546,1404,-8302,-1736,2980,1336,-4193,12
163,,8449,1507,-8342,-1735,2933,1393,-4202,12
164,,8353,1623,-8364,-1731,2884,1448,-4208,15
165,,8235,1749,-8341,-1731,2841,1505,-4217,14
166,,8142,1847,-8369,-1730,2798,1560,-4228,16
167,,8021,1941,-8400,-1736,2747,1609,-4237,13
168,,7933,2069,-8388,-1736,2698,1661,-4239,12
169,,7816,2182,-8381,-1737,2643,1716,-4244,11
170,,7745,2281,-8393,-1732,2591,1765,-4245,15
171,,7642,2388,-8386,-1732,2543,1816,-4247,17
172,,7549,2518,-8388,-1733,2499,1868,-4248,15
173,,7450,2602,-8413,-1737,2449,1917,-4259,13
174,,7354,2717,-8437,-1738,2394,1965,-4259,11
175,,7254,2806,-8422,-1739,2340,2015,-4257,11
176,,7184,2934,-8437,-1734,2287,2060,-4246,15
177,,7102,3080,-8443,-1732,2238,2113,-4244,15
178,,7008,3196,-8465,-1733,2188,2161,-4241,16
179,,6929,3313,-8483,-1738,2135,2209,-4240,13
180,,6847,3444,-8510,-1739,2078,2255,-4238,11
181,,6782,3584,-8549,-1736,2028,2303,-4228,15
182,,6726,3700,-8614,-1736,1971,2349,-4220,15
183,,6682,3803,-8652,-1735,1913,2400,-4211,14
184,,6615,3928,-8674,-1735,1852,2446,-4200,17
185,,6585,4062,-8755,-1739,1803,2495,-4201,14
186,,6555,4178,-8842,-1741,1753,2539,-4196,12
187,,6513,4300,-8896,-1738,1704,2583,-4193,14
188,,6466,4414,-8956,-1736,1652,2629,-4185,15
189,,6430,4549,-9004,-1736,1592,2679,-4179,16
190,,6399,4654,-9066,-1736,1541,2722,-4174,15
191,,6341,4784,-9117,-1740,1491,2761,-4169,14
192,,6317,4884,-9176,-1740,1443,2804,-4160,12
193,,6289,5017,-9245,-1735,1395,2848,-4153,15
194,,6243,5145,-9305,-1733,1342,2889,-4146,15
